ID,Datum,Uhrzeit,Geändert Von,Status ID,Status Text
2000000060,2015.11.25,22:09:11,H2851RM4,E0001,Neu
2000000060,2015.11.26,16:58:21,H2851RM4,E0002,In Bearbeitung
2000000060,2015.12.18,03:00:47,H2851RM1,E0005,Lösungsvorschlag
2000000060,2015.12.18,03:00:47,H2851RM1,E0008,Quittiert
2000000070,2015.11.26,16:03:04,H2851AA2,E0001,Neu
2000000070,2015.11.26,18:00:34,H2851LP2,E0002,In Bearbeitung
2000000070,2016.03.08,10:59:56,H2851AS9,E0005,Lösungsvorschlag
2000000070,2016.03.08,10:59:56,H2851AS9,E0008,Quittiert
2000000071,2015.11.26,17:59:58,H2851LP2,E0001,Neu
2000000071,2015.12.01,11:10:28,H2851LP2,E0002,In Bearbeitung
2000000071,2016.05.31,18:00:40,BORYS,E0005,Lösungsvorschlag
2000000071,2016.05.31,18:00:40,BORYS,E0008,Quittiert
2000000073,2015.11.27,09:31:03,H2851AA2,E0001,Neu
2000000073,2016.05.31,18:00:40,BORYS,E0005,Lösungsvorschlag
2000000073,2016.05.31,18:00:40,BORYS,E0008,Quittiert
2000000080,2015.12.03,14:12:58,H2851RH3,E0001,Neu
2000000080,2015.12.16,17:14:56,H2851RH3,E0002,In Bearbeitung
2000000080,2015.12.18,15:40:35,H2702AR1,E0005,Lösungsvorschlag
2000000080,2015.12.18,15:40:35,H2702AR1,E0008,Quittiert
